0,1,2
Grenada,2008,0.253
Guadeloupe,2008,2.439
Guatemala,2008,10.893
Guinea,2008,1.997
Guinea-Bissau,2008,0.227
Guyana,2008,1.707
Haiti,2008,1.761
Honduras,2008,8.438
Hong Kong,2008,42.791
Hungary,2008,57.248
Iceland,2008,3.811
India,2008,1462.815
Indonesia,2008,366.293
Iran,2008,534.644
Iraq,2008,91.803
Ireland,2008,47.367
Israel,2008,67.98
Italy,2008,478.903
Jamaica,2008,10.78
Japan,2008,1232.314
Jordan,2008,20.718
Kazakhstan,2008,228.67
Kenya,2008,9.911
Kiribati,2008,0.066
Kosovo,2008,7.387
Kuwait,2008,82.297
Kyrgyzstan,2008,7.547
Laos,2008,2.131
Latvia,2008,8.198
Lebanon,2008,17.418
Leeward Islands,2008,
Lesotho,2008,2.125
Liberia,2008,0.534
Libya,2008,53.591
Liechtenstein,2008,0.219
Lithuania,2008,15.203
Luxembourg,2008,11.184
Macao,2008,1.132
Madagascar,2008,1.78
Malawi,2008,1.087
Malaysia,2008,201.985
Maldives,2008,0.843
Mali,2008,1.957
Malta,2008,2.747
Marshall Islands,2008,0.128
Martinique,2008,2.159
Mauritania,2008,1.773
Mauritius,2008,3.767
Mayotte,2008,0.289
Mexico,2008,492.98
Moldova,2008,5.19
Mongolia,2008,12.017
Montenegro,2008,2.605
Montserrat,2008,0.048
Morocco,2008,51.369
Mozambique,2008,2.18
Myanmar,2008,9.722
Namibia,2008,3.334
Nauru,2008,0.044
Nepal,2008,3.352
Netherlands,2008,174.862
New Caledonia,2008,2.848
New Zealand,2008,37.713
Nicaragua,2008,4.365
Niger,2008,0.802
Nigeria,2008,94.772
Niue,2008,0.007
North Korea,2008,70.329
North Macedonia,2008,9.296
Norway,2008,44.837
Oman,2008,42.11
Pakistan,2008,155.356
Palau,2008,0.205
Panama,2008,7.335
Papua New Guinea,2008,4.793
Paraguay,2008,4.278
Peru,2008,40.81
Philippines,2008,77.301
Poland,2008,330.454
Portugal,2008,60.123
Puerto Rico,2008,
Qatar,2008,64.257
Reunion,2008,4.276
Romania,2008,98.58
Russia,2008,1636.923
Rwanda,2008,0.528
Ryukyu Islands,2008,
Saint Helena,2008,0.011
Saint Kitts and Nevis,2008,0.216
Saint Lucia,2008,0.425
Saint Pierre and Miquelon,2008,0.066
Saint Vincent and the Grenadines,2008,0.22
Samoa,2008,0.161
Sao Tome and Principe,2008,0.084
Saudi Arabia,2008,432.336
Senegal,2008,4.74
Serbia,2008,51.778
Seychelles,2008,0.414
Sierra Leone,2008,0.506
Singapore,2008,57.572
Sint Maarten,2008,0.658
Slovakia,2008,41.373
Slovenia,2008,18.25
Solomon Islands,2008,0.308
Somalia,2008,0.601
South Africa,2008,494.642
South Korea,2008,534.025
South Sudan,2008,1.239
Spain,2008,336.767
Sri Lanka,2008,11.987
St. Kitts-Nevis-Anguilla,2008,
Sudan,2008,13.634
Suriname,2008,1.935
Sweden,2008,50.887
Switzerland,2008,44.714
Syria,2008,66.877
Taiwan,2008,266.595
Tajikistan,2008,2.896
Tanzania,2008,5.915
Thailand,2008,226.873
Timor,2008,0.202
Togo,2008,1.523
Tonga,2008,0.121
Trinidad and Tobago,2008,44.096
Tunisia,2008,24.333
Turkey,2008,309.321
Turkmenistan,2008,56.667
Turks and Caicos Islands,2008,0.172
Tuvalu,2008,0.011
Uganda,2008,2.78
Ukraine,2008,325.533
United Arab Emirates,2008,153.97
United Kingdom,2008,544.498
United States,2008,5914.078
Uruguay,2008,8.202
Uzbekistan,2008,123.039
Vanuatu,2008,0.095
Venezuela,2008,168.69
Vietnam,2008,113.327
Wallis and Futuna,2008,0.022
Yemen,2008,22.025
Zambia,2008,2.553
Zimbabwe,2008,7.72
