0,1,2
Guadeloupe,2009,2.379
Guatemala,2009,11.442
Guinea,2009,2.11
Guinea-Bissau,2009,0.234
Guyana,2009,1.909
Haiti,2009,1.888
Honduras,2009,7.939
Hong Kong,2009,41.579
Hungary,2009,51.471
Iceland,2009,3.728
India,2009,1612.817
Indonesia,2009,401.957
Iran,2009,559.025
Iraq,2009,102.969
Ireland,2009,42.18
Israel,2009,63.861
Italy,2009,424.739
Jamaica,2009,7.934
Japan,2009,1163.213
Jordan,2009,21.337
Kazakhstan,2009,223.11
Kenya,2009,11.966
Kiribati,2009,0.055
Kosovo,2009,8.13
Kuwait,2009,86.955
Kyrgyzstan,2009,6.737
Laos,2009,2.667
Latvia,2009,7.456
Lebanon,2009,20.958
Leeward Islands,2009,
Lesotho,2009,2.217
Liberia,2009,0.474
Libya,2009,53.121
Liechtenstein,2009,0.205
Lithuania,2009,13.042
Luxembourg,2009,10.638
Macao,2009,1.891
Madagascar,2009,1.706
Malawi,2009,1.093
Malaysia,2009,200.713
Maldives,2009,0.883
Mali,2009,1.887
Malta,2009,2.533
Marshall Islands,2009,0.132
Martinique,2009,2.298
Mauritania,2009,1.96
Mauritius,2009,3.708
Mayotte,2009,0.293
Mexico,2009,475.903
Moldova,2009,4.54
Mongolia,2009,13.074
Montenegro,2009,1.682
Montserrat,2009,0.044
Morocco,2009,50.86
Mozambique,2009,2.439
Myanmar,2009,10.156
Namibia,2009,3.056
Nauru,2009,0.04
Nepal,2009,4.129
Netherlands,2009,169.539
New Caledonia,2009,2.933
New Zealand,2009,34.882
Nicaragua,2009,4.445
Niger,2009,0.961
Nigeria,2009,74.885
Niue,2009,0.004
North Korea,2009,53.567
North Macedonia,2009,8.592
Norway,2009,43.268
Oman,2009,40.654
Pakistan,2009,155.221
Palau,2009,0.198
Panama,2009,8.461
Papua New Guinea,2009,5.089
Paraguay,2009,4.531
Peru,2009,51.318
Philippines,2009,76.492
Poland,2009,316.84
Portugal,2009,57.224
Puerto Rico,2009,
Qatar,2009,68.597
Reunion,2009,4.347
Romania,2009,81.554
Russia,2009,1528.961
Rwanda,2009,0.558
Ryukyu Islands,2009,
Saint Helena,2009,0.011
Saint Kitts and Nevis,2009,0.224
Saint Lucia,2009,0.425
Saint Pierre and Miquelon,2009,0.066
Saint Vincent and the Grenadines,2009,0.278
Samoa,2009,0.169
Sao Tome and Principe,2009,0.092
Saudi Arabia,2009,465.844
Senegal,2009,5.258
Serbia,2009,45.895
Seychelles,2009,0.44
Sierra Leone,2009,0.502
Singapore,2009,90.098
Sint Maarten,2009,0.673
Slovakia,2009,37.635
Slovenia,2009,16.177
Solomon Islands,2009,0.319
Somalia,2009,0.597
South Africa,2009,502.259
South Korea,2009,539.23
South Sudan,2009,1.291
Spain,2009,297.385
Sri Lanka,2009,12.945
St. Kitts-Nevis-Anguilla,2009,
Sudan,2009,14.189
Suriname,2009,1.994
Sweden,2009,47.252
Switzerland,2009,43.534
Syria,2009,61.562
Taiwan,2009,252.506
Tajikistan,2009,2.444
Tanzania,2009,5.771
Thailand,2009,242.274
Timor,2009,0.227
Togo,2009,2.741
Tonga,2009,0.132
Trinidad and Tobago,2009,44.22
Tunisia,2009,24.321
Turkey,2009,315.36
Turkmenistan,2009,50.17
Turks and Caicos Islands,2009,0.18
Tuvalu,2009,0.011
Uganda,2009,3.0
Ukraine,2009,277.293
United Arab Emirates,2009,165.5
United Kingdom,2009,493.895
United States,2009,5478.209
Uruguay,2009,7.947
Uzbekistan,2009,106.252
Vanuatu,2009,0.121
Venezuela,2009,169.573
Vietnam,2009,123.443
Wallis and Futuna,2009,0.029
Yemen,2009,24.251
Zambia,2009,2.94
Zimbabwe,2009,5.476
