0,1,2
Gambia,2003,0.3
Georgia,2003,3.735
Germany,2003,901.152
Ghana,2003,7.438
Greece,2003,109.09
Greenland,2003,0.65
Grenada,2003,0.216
Guadeloupe,2003,2.388
Guatemala,2003,10.448
Guinea,2003,1.7
Guinea-Bissau,2003,0.194
Guyana,2003,1.858
Haiti,2003,1.7
Honduras,2003,6.617
Hong Kong,2003,43.202
Hungary,2003,61.756
Iceland,2003,2.985
India,2003,1059.616
Indonesia,2003,340.441
Iran,2003,413.665
Iraq,2003,90.785
Ireland,2003,45.683
Israel,2003,62.415
Italy,2003,495.965
Jamaica,2003,10.667
Japan,2003,1287.468
Jordan,2003,16.982
Kazakhstan,2003,178.962
Kenya,2003,6.587
Kiribati,2003,0.044
Kuwait,2003,59.624
Kyrgyzstan,2003,5.382
Laos,2003,1.221
Latvia,2003,7.726
Lebanon,2003,18.529
Leeward Islands,2003,
Lesotho,2003,1.931
Liberia,2003,0.468
Libya,2003,49.474
Liechtenstein,2003,0.229
Lithuania,2003,12.693
Luxembourg,2003,10.459
Macao,2003,1.532
Madagascar,2003,1.681
Malawi,2003,0.903
Malaysia,2003,156.521
Maldives,2003,0.506
Mali,2003,1.246
Malta,2003,2.979
Marshall Islands,2003,0.106
Martinique,2003,2.181
Mauritania,2003,1.29
Mauritius,2003,3.059
Mayotte,2003,0.19
Mexico,2003,437.758
Moldova,2003,4.404
Mongolia,2003,8.008
Montenegro,2003,1.889
Montserrat,2003,0.037
Morocco,2003,36.57
Mozambique,2003,1.856
Myanmar,2003,9.779
Namibia,2003,1.883
Nauru,2003,0.066
Nepal,2003,2.81
Netherlands,2003,179.009
New Caledonia,2003,2.726
New Zealand,2003,36.301
Nicaragua,2003,4.335
Niger,2003,0.754
Nigeria,2003,100.008
Niue,2003,0.004
North Korea,2003,70.138
North Macedonia,2003,11.226
Norway,2003,44.012
Oman,2003,32.028
Pakistan,2003,117.491
Palau,2003,0.213
Panama,2003,6.09
Papua New Guinea,2003,3.942
Paraguay,2003,4.031
Peru,2003,26.21
Philippines,2003,70.215
Poland,2003,319.598
Portugal,2003,64.654
Puerto Rico,2003,
Qatar,2003,41.3
Reunion,2003,3.145
Romania,2003,102.509
Russia,2003,1525.607
Rwanda,2003,0.509
Ryukyu Islands,2003,
Saint Helena,2003,0.011
Saint Kitts and Nevis,2003,0.198
Saint Lucia,2003,0.377
Saint Pierre and Miquelon,2003,0.062
Saint Vincent and the Grenadines,2003,0.198
Samoa,2003,0.158
Sao Tome and Principe,2003,0.066
Saudi Arabia,2003,326.517
Senegal,2003,4.928
Serbia,2003,54.764
Seychelles,2003,0.341
Sierra Leone,2003,0.535
Singapore,2003,49.438
Sint Maarten,2003,0.561
Slovakia,2003,42.307
Slovenia,2003,16.25
Solomon Islands,2003,0.256
Somalia,2003,0.594
South Africa,2003,404.173
South Korea,2003,485.955
South Sudan,2003,0.753
Spain,2003,337.701
Sri Lanka,2003,10.953
St. Kitts-Nevis-Anguilla,2003,
Sudan,2003,8.285
Suriname,2003,1.538
Sweden,2003,57.188
Switzerland,2003,44.652
Syria,2003,53.582
Taiwan,2003,248.401
Tajikistan,2003,2.071
Tanzania,2003,3.687
Thailand,2003,201.993
Timor,2003,0.161
Togo,2003,1.805
Tonga,2003,0.117
Trinidad and Tobago,2003,32.251
Tunisia,2003,20.926
Turkey,2003,236.484
Turkmenistan,2003,44.521
Turks and Caicos Islands,2003,0.103
Tuvalu,2003,0.011
Uganda,2003,1.513
Ukraine,2003,307.017
United Arab Emirates,2003,105.619
United Kingdom,2003,571.472
United States,2003,6011.837
Uruguay,2003,4.527
Uzbekistan,2003,125.936
Vanuatu,2003,0.084
Venezuela,2003,191.458
Vietnam,2003,76.048
Wallis and Futuna,2003,0.026
Yemen,2003,17.081
Zambia,2003,2.074
Zimbabwe,2003,10.61
