0,1,2
Saint Lucia,2013,0.487
Saint Pierre and Miquelon,2013,0.066
Saint Vincent and the Grenadines,2013,0.22
Samoa,2013,0.194
Sao Tome and Principe,2013,0.121
Saudi Arabia,2013,540.805
Senegal,2013,7.853
Serbia,2013,44.546
Seychelles,2013,0.414
Sierra Leone,2013,1.008
Singapore,2013,54.366
Sint Maarten,2013,0.714
Slovakia,2013,35.507
Slovenia,2013,15.106
Solomon Islands,2013,0.374
Somalia,2013,0.63
South Africa,2013,455.866
South Korea,2013,635.791
South Sudan,2013,1.444
Spain,2013,252.726
Sri Lanka,2013,14.679
St. Kitts-Nevis-Anguilla,2013,
Sudan,2013,16.175
Suriname,2013,2.744
Sweden,2013,45.206
Switzerland,2013,43.186
Syria,2013,34.234
Taiwan,2013,273.797
Tajikistan,2013,2.907
Tanzania,2013,9.909
Thailand,2013,287.598
Timor,2013,0.542
Togo,2013,1.643
Tonga,2013,0.114
Trinidad and Tobago,2013,45.236
Tunisia,2013,26.864
Turkey,2013,345.221
Turkmenistan,2013,66.375
Turks and Caicos Islands,2013,0.187
Tuvalu,2013,0.011
Uganda,2013,3.755
Ukraine,2013,297.25
United Arab Emirates,2013,205.39
United Kingdom,2013,477.387
United States,2013,5474.257
Uruguay,2013,7.492
Uzbekistan,2013,109.473
Vanuatu,2013,0.106
Venezuela,2013,207.425
Vietnam,2013,149.22
Wallis and Futuna,2013,0.022
Yemen,2013,24.976
Zambia,2013,4.416
Zimbabwe,2013,11.836
